City,Economic Need Index,School Income Estimate,Percent ELL,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Average Proficiency
NEW YORK,0.919,31141.72,9%,94%,18%,89%,Meeting Target,94%,Meeting Target,86%,Exceeding Target,91%,Exceeding Target,85%,Meeting Target,94%,Exceeding Target,Approaching Target,2.14,2.17,2.155
NEW YORK,0.744,44342.61,15%,94%,20%,87%,Meeting Target,77%,Meeting Target,82%,Approaching Target,61%,Not Meeting Target,80%,Approaching Target,79%,Not Meeting Target,Approaching Target,2.39,2.54,2.465
NEW YORK,0.86,31454,7%,92%,28%,85%,Approaching Target,78%,Meeting Target,82%,Meeting Target,73%,Approaching Target,89%,Meeting Target,88%,Meeting Target,Exceeding Target,2.48,2.47,2.475
NEW YORK,0.73,46435.59,3%,93%,23%,90%,Meeting Target,88%,Meeting Target,87%,Meeting Target,81%,Meeting Target,89%,Meeting Target,93%,Meeting Target,Meeting Target,2.38,2.54,2.46
NEW YORK,0.858,39415.45,6%,92%,33%,93%,Meeting Target,99%,Exceeding Target,95%,Exceeding Target,91%,Exceeding Target,88%,Meeting Target,97%,Exceeding Target,Meeting Target,2.29,2.48,2.385
NEW YORK,0.499,43706.73,1%,95%,13%,88%,Exceeding Target,78%,Meeting Target,95%,Exceeding Target,69%,Approaching Target,87%,Meeting Target,78%,Not Meeting Target,Exceeding Target,2.8,3.2,3
NEW YORK,0.833,28820.67,12%,91%,36%,87%,Approaching Target,89%,Meeting Target,88%,Approaching Target,88%,Meeting Target,79%,Approaching Target,94%,Exceeding Target,Meeting Target,2.28,2.73,2.505
NEW YORK,0.849,34889.24,14%,93%,27%,94%,Meeting Target,91%,Approaching Target,85%,Meeting Target,87%,Meeting Target,83%,Meeting Target,93%,Meeting Target,Meeting Target,2.21,2.27,2.24
NEW YORK,0.861,35545.1,8%,92%,27%,92%,Meeting Target,89%,Meeting Target,90%,Meeting Target,83%,Meeting Target,89%,Meeting Target,95%,Exceeding Target,Meeting Target,2.16,2.31,2.235
NEW YORK,0.917,27881.59,16%,91%,37%,100%,Meeting Target,100%,Exceeding Target,99%,Meeting Target,99%,Exceeding Target,92%,Exceeding Target,99%,Exceeding Target,Meeting Target,2.17,2.32,2.245
NEW YORK,0.362,63760,1%,95%,11%,90%,Meeting Target,93%,Exceeding Target,94%,Meeting Target,93%,Exceeding Target,97%,Exceeding Target,96%,Exceeding Target,Meeting Target,2.86,3.2,3.03
NEW YORK,0.451,62519.57,7%,93%,23%,97%,Meeting Target,97%,Meeting Target,97%,Meeting Target,96%,Exceeding Target,93%,Exceeding Target,94%,Meeting Target,Meeting Target,2.89,2.99,2.94
NEW YORK,0.43,57504.48,4%,93%,23%,99%,Exceeding Target,97%,Exceeding Target,95%,Meeting Target,96%,Exceeding Target,95%,Exceeding Target,99%,Exceeding Target,Approaching Target,2.55,2.68,2.615
NEW YORK,0.448,56787.2,6%,94%,15%,96%,Exceeding Target,99%,Exceeding Target,96%,Exceeding Target,98%,Exceeding Target,96%,Exceeding Target,98%,Exceeding Target,Meeting Target,3.1,3.08,3.09
NEW YORK,0.257,76833.96,0%,97%,3%,81%,Exceeding Target,73%,Approaching Target,85%,Meeting Target,55%,Not Meeting Target,81%,Approaching Target,74%,Not Meeting Target,Exceeding Target,3.83,4.03,3.93
NEW YORK,0.769,32817.79,25%,95%,18%,89%,Meeting Target,91%,Meeting Target,95%,Meeting Target,86%,Meeting Target,87%,Meeting Target,94%,Exceeding Target,Exceeding Target,2.59,3.14,2.865
NEW YORK,0.858,26114.78,36%,98%,6%,93%,Approaching Target,86%,Meeting Target,94%,Meeting Target,76%,Approaching Target,83%,Meeting Target,89%,Meeting Target,Meeting Target,2.75,3.24,2.995
NEW YORK,0.176,103399.19,4%,95%,13%,97%,Exceeding Target,93%,Meeting Target,97%,Meeting Target,93%,Exceeding Target,96%,Exceeding Target,95%,Exceeding Target,Meeting Target,3.09,3.41,3.25
NEW YORK,0.101,144270.13,2%,96%,5%,87%,Meeting Target,90%,Exceeding Target,95%,Exceeding Target,87%,Meeting Target,92%,Exceeding Target,90%,Meeting Target,Exceeding Target,3.4,3.71,3.555
NEW YORK,0.293,98455.77,3%,96%,10%,93%,Exceeding Target,93%,Exceeding Target,98%,Exceeding Target,91%,Exceeding Target,93%,Exceeding Target,95%,Exceeding Target,Meeting Target,3.12,3.35,3.235
NEW YORK,0.43,88011.14,4%,96%,13%,97%,Exceeding Target,90%,Exceeding Target,94%,Exceeding Target,82%,Meeting Target,92%,Exceeding Target,89%,Meeting Target,Meeting Target,3.04,3.4,3.22
NEW YORK,0.153,102421.46,3%,96%,7%,97%,Exceeding Target,94%,Exceeding Target,99%,Exceeding Target,91%,Exceeding Target,96%,Exceeding Target,96%,Exceeding Target,Exceeding Target,3.39,3.65,3.52
NEW YORK,0.066,115909.89,2%,97%,2%,95%,Exceeding Target,96%,Exceeding Target,98%,Exceeding Target,92%,Exceeding Target,95%,Exceeding Target,98%,Exceeding Target,Exceeding Target,3.44,3.7,3.57
NEW YORK,0.626,91149.35,9%,94%,15%,90%,Meeting Target,95%,Exceeding Target,97%,Exceeding Target,91%,Exceeding Target,89%,Meeting Target,97%,Exceeding Target,Exceeding Target,2.55,2.83,2.69
NEW YORK,0.075,116235.64,4%,96%,6%,87%,Exceeding Target,87%,Exceeding Target,95%,Exceeding Target,76%,Approaching Target,94%,Exceeding Target,89%,Meeting Target,Exceeding Target,3.24,3.62,3.43
